iter	MultiClass
0	2.143702125
1	2.081455675
2	2.026950715
3	1.973918874
4	1.938337093
5	1.9021651
6	1.864939849
7	1.818225245
8	1.786150322
9	1.75570603
10	1.727228107
11	1.700313759
12	1.675871499
13	1.648111971
14	1.618694768
15	1.595920016
16	1.568081394
17	1.541931983
18	1.513274163
19	1.495526518
20	1.475879104
21	1.456106364
22	1.438794283
23	1.424231908
24	1.410071239
25	1.387358638
26	1.375102675
27	1.359331135
28	1.347195118
29	1.330735375
30	1.320592104
31	1.307859971
32	1.297639592
33	1.28224846
34	1.273550871
35	1.264718876
36	1.252497995
37	1.239294622
38	1.227109875
39	1.219885178
40	1.212114119
41	1.204463686
42	1.195887983
43	1.188457834
44	1.175843869
45	1.168894112
46	1.160973961
47	1.152633339
48	1.143029257
49	1.132670777
