iter	Passed	Remaining
0	11	1142
1	19	986
2	31	1021
3	41	1001
4	49	952
5	59	948
6	71	956
7	79	921
8	89	912
9	99	905
10	107	882
11	117	870
12	127	866
13	138	857
14	149	855
15	157	836
16	167	828
17	177	817
18	185	799
19	195	792
20	206	786
21	213	768
22	224	759
23	233	750
24	241	735
25	250	723
26	261	716
27	271	708
28	281	698
29	290	687
30	300	679
31	310	669
32	318	655
33	327	645
34	337	636
35	345	624
36	354	613
37	364	604
38	373	594
39	382	582
40	392	574
41	403	566
42	413	557
43	420	545
44	431	537
45	441	528
46	449	516
47	458	505
48	467	496
49	477	487
50	485	476
51	495	467
52	506	458
53	513	447
54	522	436
55	532	428
56	543	419
57	553	410
58	561	399
59	573	391
60	583	382
61	591	371
62	600	362
63	610	352
64	618	342
65	627	332
66	637	323
67	645	313
68	653	303
69	664	294
70	675	285
71	685	276
72	693	265
73	701	256
74	713	247
75	721	237
76	729	227
77	739	218
78	749	208
79	756	198
80	767	189
81	776	180
82	784	170
83	793	160
84	803	151
85	814	142
86	824	132
87	833	123
88	843	113
89	854	104
90	862	94
91	871	85
92	881	75
93	890	66
94	899	56
95	910	47
96	918	37
97	927	28
98	941	19
99	951	9
100	961	0
